KODE KLASIFIKASI ARSIP,,,,
SESUAI PERATURAN MENTERI DALAM NEGERI NOMOR 83 TAHUN 2022,,,,
A.,KODE KLASIFIKASI  ARSIP DI LINGKUNGAN KEMENTERIAN DALAM NEGERI,,,
,,,000.9.6.3,Akuntabilitas Kinerja Instansi Pemerintah
,000.10,STRATEGI KEBIJAKAN DALAM NEGERI,,
,,000.10.1,"Penyusunan kebijakan teknis, rencana, dan program analisis dan pemberian rekomendasi strategi kebijakan di bidang pemerintahan dalam negeri",
,,000.10.2,Pelaksanaan analisis dan pemberian rekomendasi strategi kebijakan di bidang pemerintahan dalam negeri,
,,000.10.3,Koordinasi dan sinkronisasi strategi kebijakan di bidang pemerintahan dalam negeri,
,,000.10.4,"Pemantaran, evaluasi, dan pelaporan pelaksanaan analisis dan pemberian rekomendasi strategi kebijakan di bidang pemerintahan dalam negeri",
,,000.10.5,Pelaksanaan administrasi strategi kebijakan dalam negeri,
,,000.10.6,Pelaksanaan fungsi lain yang diberikan oleh Menteri,
100,PEMERINTAHAN,,,
,100.1,PEMERINTAH PUSAT,,
,100.2,OTONOMI DAERAH,,
,100.3,PEMERINTAH DESA,,
,100.4,HUKUM,,
,,100.4.1,Program Legislasi,
,,100.4.2,Rancangan Peraturan Perundang-undangan,
,,,100.4.2.1,"Rancangan Undang-undang atau Peraturan Pemerintah Pengganti Undang-undang, termasuk naskah akademik, rancangan awal sampai dengan rancangan akhir dan telaah hukum sampai diundangkan."
,,,100.4.2.2,"Rancangan Peraturan Pemerintah, termasuk naskah akademik, rancangan awal sampai dengan rancangan akhir dan telaah hukum sampai dengan rancangan akhir dan telaah hukum sampai diundangkan."
,,,100.4.2.3,"Rancangan Peraturan/Keputusan/Instruksi Presiden, termasuk naskah akademik, rancangan awal sampai dengan rancangan akhir dan telaah hukum rancangan awal sampai dengan rancangan akhir dan telaah hukum."
,,,100.4.2.4,"Rancangan Peraturan Daerah, termasuk naskah akademik, rancangan awal sampai dengan rancangan akhir dan telaah hukum sampai diundangkan."
,,100.4.3,"Peraturan/Keputusan Menteri, termasuk rancangan awal sampai dengan rancangan akhir dan telaah hukum.",
,,100.4.4,Instruksi/Surat Edaran,
,,,100.4.4.1,Intruksi/Surat Edaran Menteri
,,,100.4.4.2,"Instruksi/ Surat Edaran Setingkat Eselon I dan II, termasuk rancangan awal sampai dengan rancangan akhir dan telaah hukum."
,,100.4.5,Surat Perintah,
,,,100.4.5.1,Surat Perintah Menteri
,,,100.4.5.2,Surat Perintah Eselon I dan II
,,100.4.6,Standar/Pedoman/Prosedur Kerja/Petunjuk Pelaksanaan/Petunjuk Teknis yang bersifat Nasional/Regional/Instansional termasuk rancangan awal sampai dengan rancangan akhir.,
,,100.4.7,Nota kesepahaman /memorandum of Understanding (Mou)/ Kontrak/Perjanjian Kerjasama:,
,,,100.4.7.1,Dalam Negeri
,,,100.4.7.2,Luar Negeri
,,100.4.8,"Dokumen Hukum Undang-undang, Peraturan Pemerintah, Keputusan Presiden, dan Peraturan-peraturan yang dijadikan referensi.",
,,100.4.9,Sosialisasi/Penyuluhan/Pembinaan Hukum,
,,,100.4.9.1,Berkas yang berhubungan dengan kegiatan sosialisasi atau penyuluhan hukum
,,,100.4.9.2,Laporan Hasil Pelaksanaan Sosialisasi Penyuluhan Hukum
,,100.4.10,"Bantuan/Konsultasi Hukum/Advokasi Berkas tentang pemberian bantuan/konsultasi hukum (Pidana ,Perdata, Tata Usaha Negara dan Agama)",
,,100.4.11,Kasus/ Sengketa Hukum,
,,100.4.12,Perijinan,
,,,Berkas perijinan sejak permohonan sampai dengan diterbitkannya surat ijin.,
,,100.4.13,Hak atas Kekayaan Intelektual (HAKI),
,,,100.4.13.1,Hak Cipta
,,,100.4.13.2,Hak Paten Biasa
,,,100.4.13.3,Hak Paten Sederahana
,,,100.4.13.4,Hak Desain Industri
,,,100.4.13.5,Hak Rahasia Dagang
,,,100.4.13.6,Hak Merk
,,,100.4.13.7,DTLS (Desain Tata Letak Sirkuit Terpadu)
200,POLITIK,,,
,200.1,PERUMUSAN KEBIJAKAN ,,
,200.2,PELAKSANAAN KEBIJAKAN,,
,200.3,PELAKSANAAN KEBIJAKAN DI BIDANG FASILITASI ORGANISASI MASYRAKAT DAN FASIITASI PENANGANAN KONFLIK SOSIAL SESUAI DENGAN KETENTUAN PERATURAN PERUNDANG-UNDANGAN,,
,200.4,PELAKSANAAN PEMBINAAN UMUM ,,
,200.5,PEMBERIAN BIMBINGAN TEKNIS DAN SUPERVISI,,
,200.6,"PELAKSANAAN PEMANTAUAN, EVALUASI, DAN PELAPORAN ",,
,200.7,PELAKSANAAN ADMINISTRASI DIREKTORAT JENDERAL ,,
,200.8,PELAKSANAAN FUNGSI LAIN YANG DIBERIKAN OLEH MENTERI ,,
300,KEAMANAN DAN KETERTIBAN,,,
,300.1,PERUMUSAN KEBIJAKAN ,,
,300.2,PELAKSANAAN KEBIJAKAN  ,,
,300.3,PELAKSANAAN KEBIJAKAN DI BIDANG KOORDINASI PENETAPAN KAWASAN KHUSUS DAN PERKOTAAN SESUAI DENGAN KETENTUAN PERATURAN PERUNDANG-UNDANGAN ,,
,300.4,"PENYUSUNAN NORMA, STANDAR, PROSEDUR, DAN KRITERIA DI BIDANG KETENTRAMAN DAN KETERTIBAN UMUM DAN PERLINDUNGAN MASYARAKAT",,
,300.5,PEMBERIAN BIMBINGAN TEKNIS DAN SUPERVISI ,,
,300.6,"PELAKSANAAN PEMANTAUAN, EVALUASI, DAN PELAPORAN ",,
,300.7,PELAKSANAAN ADMINISTRASI DIREKTORAT JENDERAL ,,
,300.8,PELAKSANAAN FUNGSI LAIN YANG DIBERIKAN OLEH  MENTERI ,,
400,KESEJAHTERAAN RAKYAT,,,
,400.1,PENDIDIKAN,,
,,400.1.1,Penyiapan perumusan kebijakan,
,,400.1.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,400.1.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,400.1.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,400.1.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,400.1.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,400.1.7,Harmonisasi pembangunan daerah di bidang Pendidikan,
,400.2,OLAHRAGA,,
,,400.2.1,Penyiapan perumusan kebijakan,
,,400.2.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,400.2.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,400.2.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,400.2.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,400.2.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,400.2.7,Harmonisasi pembangunan daerah di bidang Olahraga,
,400.3,KEPEMUDAAN,,
,,400.3.1,Penyiapan perumusan kebijakan,
,,400.3.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,400.3.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,400.3.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,400.3.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,400.3.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,400.3.7,Harmonisasi pembangunan daerah di bidang kepemudaan,
,400.4,SOSIAL DAN BUDAYA,,
,,400.4.1,Penyiapan perumusan kebijakan,
,,400.4.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,400.4.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,400.4.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,400.4.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,400.4.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,400.4.7,Harmonisasi pembangunan daerah di bidang Sosial dan Budaya,
,400.5,KESEHATAN,,
,,400.5.1,Penyiapan perumusan kebijakan,
,,400.5.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,400.5.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,400.5.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,400.5.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,400.5.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,400.5.7,Harmonisasi pembangunan daerah di bidang Kesehatan,
,400.6,AGAMA DAN KEPERCAYAAN,,
,400.7,PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK,,
,,400.7.1,Penyiapan perumusan kebijakan,
,,400.7.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,400.7.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,400.7.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,400.7.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,400.7.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,400.7.7,Harmonisasi pembangunan daerah di bidang Pemberdayaan perempuan dan perlindungan anak,
,400.8,KEPENDUDUKAN,,
,,400.8.1,Perencanaan umum dan program kependudukan Pendaftaran penduduk ,
,,400.8.2,Pencatatan Sipil ,
,,400.8.3,Informasi Kependudukan,
,,400.8.4,Perkembangan Penduduk,
,,,400.8.4.2,"Fertilitas, kesehatan, dan reproduksi"
,,,400.8.4.5,"Pengembangan Kualitas anak, remaja, penduduk usia produktif dan lanjut usia"
,,,400.8.4.6,Data informasi pengembangan kualitas penduduk
,,400.8.5,Proyeksi dan penyesuaian kebijakan kependudukan,
,,400.8.6,Kewarganegaraan Asing,
,,400.8.7,Urbanisasi,
,400.9,KELUARGA BERENCANA,,
,,400.9.1,Penyiapan perumusan kebijakan,
,,400.9.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum,",
,,400.9.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,400.9.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,400.9.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,400.9.6,Pemberian bimbingan teknis dan supervisi sinkronisasi serta harmonisasi pembangunan daerah di bidang Pengendalian Penduduk dan Keluarga Berencana,
,400.10,HUBUNGAN MASYARAKAT,,
,,400.10.1,Keprotokolan ,
,,,400.10.1.1,"Penyelenggaraan acara kedinasan (upacara,pelantikan,peresmian,dan jamuan termasuk acara peringatan hari-hari besar) "
,,,400.10.1.2,Buku tamu Keprotokolan
,,,400.10.1.3,Agenda kegiatan pimpinan
,,,400.10.1.4,Kunjungan dinas dalam dan luar negeri
,,400.10.2,Daftar nama/alamat kantor /pejabat,
,,400.10.3,"Dokumentasi/ liputan kegiatan dinas pimpinan, acara kedinasan dan peristiwa-peristiwan bidang masing-masing, dalam berbagai media : kertas,foto/ video/ rekaman suara/ multi media",
,,400.10.4,"Pengumpulan,pengolahan dan penyajian informasi kelembagaan",
,,400.10.5,Hubungan antar lembaga dan Pemerintahan Daerah,
,,,400.10.5.4,"Hubungan dengan Perguruan Tinggi/ sekolah, termasuk magang, Pendidikan Sistem Ganda (PSG)/ Praktek Kerja Lapang (PKL)"
,,400.10.6,Dengar pendapat/hearing DPRD,
,,400.10.7,Bahan/materi pidato Menteri Dalam Negeri,
,,400.10.8,"Penerbitan Majalah,buletin,koran dan jurnal",
,,400.10.9,Publikasi melalui media cetak  maupun elektronik,
,,400.10.10,"Pameran /sayemara/lomba/festival,pembuatan spanduk dan iklan",
,,400.10.11,Penghargaan/tanda kenang-kenangan,
,,400.10.12,"Ucapan Terimakasih, Ucapan Selamat, Bela Sungkawa, Permohonan Maaf",
500,PEREKONOMIAN,,,
,500.1,PERTANIAN DAN PANGAN,,
,,500.1.1,Penyiapan perumusan kebijakan,
,,500.1.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.1.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.1.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.1.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.1.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.1.7,Harmonisasi pembangunan daerah di bidang pertanian dan pangan,
,500.2,PERINDUSTRIAN DAN PERDAGANGAN,,
,,500.2.1,Penyiapan perumusan kebijakan,
,,500.2.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum,",
,,500.2.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.2.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.2.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.2.6,Pemberian bimbingan teknis dan supervisi sinkronisasi serta harmonisasi pembangunan daerah di bidang perindustrian dan perdagangan,
,500.3,KOPERASI USAHA KECIL DAN MENENGAH DAN PENANAMAN MODAL,,
,,500.3.1,Penyiapan perumusan kebijakan,
,,500.3.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.3.3,"Pelaksanaan koordinasi dan fasilitasi sinkronisasi serta harmonisasi pembangunan daerah di bidang koperasi, usaha kecil dan menengah , dan penanaman modal ",
,,500.3.4,Penyusunan pemetaan urusan pemerintahan,
,,500.3.5,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.3.6,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.3.7,Pemberian bimbingan teknis dan supervisi sinkronisasi ,
,,500.3.8,"Harmonisasi pembangunan daerah di bidang koperasi, usaha kecil dan menengah, dan penanaman modal",
,500.4,KEHUTANAN,,
,,500.4.1,Penyiapan perumusan kebijakan,
,,500.4.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.4.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.4.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.4.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.4.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.4.7,Harmonisasi pembangunan daerah di bidang Kehutanan,
,500.5,KELAUTAN DAN PERIKANAN,,
,,500.5.1,Penyiapan perumusan kebijakan,
,,500.5.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.5.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.5.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.5.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.5.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.5.7,Harmonisasi pembangunan daerah di bidang Kelautan dan Perikanan,
,500.6,ENERGI DAN SUMBER DAYA MINERAL,,
,,500.6.1,Penyiapan perumusan kebijakan,
,,500.6.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.6.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.6.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.6.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.6.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.6.7,Harmonisasi pembangunan daerah di bidang Energi dan Sumber Daya Mineral,
,500.7,PERHUBUNGAN,,
,,500.7.1,Penyiapan perumusan kebijakan,
,,500.7.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.7.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.7.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.7.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.7.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.7.7,Harmonisasi pembangunan daerah di bidang Perhubungan,
,500.8,KOMUNIKASI DAN INFORMATIKA,,
,,500.8.1,Penyiapan perumusan kebijakan,
,,500.8.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.8.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.8.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.8.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.8.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.8.7,Harmonisasi pembangunan daerah di bidang Komunikasi dan Informatika,
,500.9,PARIWISATA,,
,,500.9.1,Penyiapan perumusan kebijakan,
,,500.9.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.9.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.9.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.9.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.9.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.9.7,Harmonisasi pembangunan daerah di bidang Pariwisata,
,500.10,STATISTIK DAN PERSANDIAN,,
,,500.10.1,Penyiapan perumusan kebijakan,
,,500.10.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.10.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.10.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.10.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.10.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.10.7,Harmonisasi pembangunan daerah di bidang Statistik dan Persandian,
,500.11,KETENAGAKERJAAN DAN TRANSMIGRASI,,
,,500.11.1,Penyiapan perumusan kebijakan,
,,500.11.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.11.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.11.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.11.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.11.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.11.7,Harmonisasi pembangunan daerah di bidang Ketenagakerjaan dan Transmigrasi,
,500.12,PERTANAHAN DAN PENATAAN RUANG,,
,,500.12.1,Penyiapan perumusan kebijakan,
,,500.12.2,"Pelaksanaan kebijakan, pelaksanaan pembinaan umum",
,,500.12.3,Pelaksanaan koordinasi dan fasilitasi penyusunan pemetaan urusan pemerintahan,
,,500.12.4,"Penyusunan norma, standar, prosedur, dan kriteria penyelenggaraan urusan pemerintahan",
,,500.12.5,"Pelaksanaan pemantauan, evaluasi dan pelaporan",
,,500.12.6,Pemberian bimbingan teknis dan supervisi sinkronisasi,
,,500.12.7,Harmonisasi pembangunan daerah di bidang Pertanahan dan Penataan Ruang,
600,PEMBANGUNAN DAERAH ,,,
,600.1,PERUMUSAN KEBIJAKAN,,
,,600.1.1,Perumusan kebijakan di bidang fasilitasi penyelenggaraan urusan pemerintahan daerah,
,,600.1.2,perencanaan pembangunan daerah,
,,600.1.3,Sinkronisasi dan harmonisasi pembangunan daerah,
,,600.1.4,"Fasilitasi pengelolaan sistem informasi pembangunan daerah, dan partisipasi masyarakat",
,600.2,PELAKSANAAN KEBIJAKAN,,
,,600.2.1,"Pelaksanaan kebijakan di bidang fasilitasi penyelenggaraan urusan pemerintahan daerah,",
,,600.2.2,perencanaan pembangunan daerah,
,,600.2.3,"Sinkronisasi dan harmonisasi pembangunan daerah, dan partisipasi masyarakat",
,600.3,PELAKSANAAN PEMBINAAN UMUM DAN KOORDINASI,,
,,600.3.1,Pelaksanaan Pembinaan umum dan koordinasi Bidang Fasilitasi Penyelenggaraan Urusan Pemerintahan Daerah,
,,600.3.2,"Perencanaan pembangunan daerah,",
,,600.3.3,Sinkronisasi dan harmonisasi pembangunan daerah,
,,600.3.4,"Fasilitasi pengelolaan sistem informasi pembangunan daerah, dan partisipasi masyarakat",
,600.4,"PELAKSANAAN KOORDINASI DAN FASILITASI PENYUSUNAN NORMA, STANDAR, PROSEDUR, DAN KRITERIA SERTA STANDAR PELAYANAN MINIMAL PENYELENGGARAAN URUSAN PEMERINTAHAN ",,
,600.5,"PELAKSANAAN PEMANTAUAN, EVALUASI, DAN PELAPORAN ",,
,,600.5.1,"Pelaksanaan pemantauan, evaluasi, dan pelaporan di bidang fasilitasi penyelenggaraan urusan pemerintahan daerah",
,,600.5.2,Perencanaan pembangunan daerah,
,,600.5.3,Sinkronisasi dan harmonisasi pembangunan daerah ,
,,600.5.4,Pengelolaan sistem informasi pembangunan daerah dan partisipasi masyarakat,
